"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C33,C37,C38,C39,C40,C41,C42,C43,C55,C56,C57,C58,C59,C60,C61,C62";"C_Radial_D5_L11_P2.5";16;"10u";;;
2;"C44,C64";"C_0603";2;"1u";;;
3;"C45,C46,C54,C68,C69,C76,C81,C82,C83,C86,C91,C92";"C_0603";12;"100n";;;
4;"C47,C53,C70,C75,C84";"C_0805";5;"10u";;;
5;"C48,C49,C50,C51,C71,C72,C73,C74";"C_1206";8;"1.5n";;;
6;"C77,C78,C79,C80,C87,C88,C89,C90";"C_Radial_D10_L16_P5";8;"22u";;;
7;"D8";"SOT-23";1;"LM4040DYM3-2.5";;;
8;"J1,J2";"AUDIO_JACK_STEREO_12PIN_FCR1117";2;"AUDIO_JACK_STEREO_12PIN_FCR1117";;;
9;"P4,P5,P6,P7,P14,P15";"Measurement_Point_Round-SMD-Pad_Small";6;"TST";;;
10;"R37,R38,R39,R40,R41,R42,R43,R44,R57,R58,R59,R60,R61,R62,R63,R64";"R_0603";16;"330";;;
11;"R45,R47,R52,R54,R55,R65,R67,R72,R74,R75";"R_0603_Solderjumper_Open";10;"Jumper_NO_Small";;;
12;"R46,R48,R51,R53,R56,R66,R68,R71,R73,R76";"R_0603_Solderjumper_Closed";10;"Jumper_NC_Small";;;
13;"R49,R69,R77,R78,R79,R80,R99,R100,R101,R102,R103";"R_0603";11;"10k";;;
14;"R50,R70";"R_0603";2;"33";;;
15;"R87,R88,R89,R90,R104,R105,R106,R107";"R_0603";8;"8.06k";;;
16;"R91,R92,R93,R94,R95,R96,R97,R98,R108,R109,R110,R112,R113,R114,R115,R116";"R_0603";16;"4.7k";;;
17;"U5,U6";"SSOP-28_5.3x10.2mm_Pitch0.65mm";2;"AK5384";;;
18;"U7,U8,U11,U12";"TSSOP-16_4.4x5mm_Pitch0.65mm";4;"OPA4353";;;
19;"U9";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"OPA337";;;
